mfsu,sec,ssu,visit,seg,sss,rel,sex,age,marst,gedu_lvl,tedu_lvl,form_edu,pas,ind_pas,ocu_pas,ern_reg,ern_self,st,dc,relg,sg,hh_size,hhtype,hce_tot,weight,mpce,total_wage,is_employed,is_unemployed,is_domestic_duties,spousal_wage
20006,2,01,V1,1,1,2,2,48,2,13,06,18,92,,,0,0,33,28,3,3,4,1,18470,8463.57,4617.5,0,0,0,1,15200.0
20006,2,02,V1,1,1,3,2,47,2,12,01,15,81,,,0,0,33,28,3,3,6,9,50343,8463.57,8390.5,0,0,1,0,0.0
20006,2,01,V1,1,2,4,2,41,2,10,01,12,92,,,0,0,33,28,3,3,4,9,12044,14811.25,3011.0,0,0,0,1,0.0
20006,2,02,V1,1,2,2,2,26,2,13,01,17,91,,,0,0,33,28,3,3,3,2,12208,14811.25,4069.3333333333335,0,0,0,0,22250.0
20018,2,01,V1,1,1,4,2,30,2,13,11,18,31,88900,531,10000,0,22,21,1,1,8,2,22992,4022.76,2874.0,10000,1,0,0,7500.0
20018,2,01,V1,1,1,4,2,30,2,13,01,17,31,85212,311,16500,0,22,21,1,1,8,2,22992,4022.76,2874.0,16500,1,0,0,7500.0
20018,2,02,V1,1,1,2,2,45,2,01,01,0,21,01124,611,0,0,22,21,1,3,5,1,10725,4022.76,2145.0,0,1,0,0,5500.0
20018,2,01,V1,1,2,2,2,55,2,01,01,0,21,01124,611,0,0,22,21,1,1,6,1,13933,10056.89,2322.1666666666665,0,1,0,0,9800.0
20018,2,01,V1,1,2,4,2,27,2,07,01,9,21,01124,611,0,0,22,21,1,1,6,1,13933,10056.89,2322.1666666666665,0,1,0,0,9800.0
20018,2,02,V1,1,2,2,2,42,2,01,01,0,51,01124,921,0,0,22,21,1,3,4,3,6492,10056.89,1623.0,0,1,0,0,0.0
20018,2,01,V1,1,3,2,2,47,2,01,01,0,21,01124,611,0,0,22,21,1,1,3,1,5500,11062.58,1833.3333333333333,0,1,0,0,6500.0
20018,2,02,V1,1,3,2,2,58,2,01,01,0,21,01124,611,0,0,22,21,1,3,8,1,12567,11062.58,1570.875,0,1,0,0,9800.0
20018,2,02,V1,1,3,4,2,30,2,06,01,7,21,01124,611,0,0,22,21,1,3,8,1,12567,11062.58,1570.875,0,1,0,0,9800.0
20018,2,02,V1,1,3,4,2,23,2,10,01,12,92,,,0,0,22,21,1,3,8,1,12567,11062.58,1570.875,0,0,0,1,9800.0
20018,2,01,V1,1,4,2,2,40,2,05,01,4,21,01124,611,0,0,22,21,1,3,4,1,8252,8380.74,2063.0,0,1,0,0,5500.0
20018,2,02,V1,1,4,2,2,58,2,01,01,0,21,01124,611,0,0,22,21,1,3,3,1,4892,8380.74,1630.6666666666667,0,1,0,0,3500.0
20020,2,01,V1,1,1,7,2,58,2,08,01,10,92,,,0,0,29,30,1,9,3,2,11558,23165.48,3852.6666666666665,0,0,0,1,0.0
20020,2,02,V1,1,1,2,2,48,2,08,01,10,92,,,0,0,29,30,1,3,3,2,6158,23165.48,2052.6666666666665,0,0,0,1,50000.0
20020,2,01,V1,1,2,2,2,45,2,07,01,8,51,41001,931,0,0,29,30,1,9,4,3,5600,37322.16,1400.0,0,1,0,0,0.0
20020,2,02,V1,1,2,2,2,58,2,06,01,7,21,01113,611,0,0,29,30,1,3,4,1,16442,37322.16,4110.5,0,1,0,0,6100.0
20020,2,01,V1,1,3,2,2,21,2,10,01,12,11,14105,753,0,8000,29,30,1,9,2,1,6242,21020.53,3121.0,8000,1,0,0,15000.0
20020,2,01,V1,1,4,2,2,45,2,01,01,0,51,41001,931,0,0,29,30,1,9,3,3,5860,19304.56,1953.3333333333333,0,1,0,0,0.0
20032,2,01,V1,1,1,2,2,49,2,07,01,9,92,,,0,0,27,13,1,3,4,2,13797,34720.23,3449.25,0,0,0,1,0.0
20032,2,01,V1,1,2,2,2,38,2,07,01,9,92,,,0,0,27,13,6,2,4,2,13528,66080.44,3382.0,0,0,0,1,49000.0
20032,2,01,V1,1,4,2,2,23,2,07,01,9,92,,,0,0,27,13,1,3,5,1,6913,16800.11,1382.6,0,0,0,1,13000.0
20032,2,01,V1,2,1,2,2,55,2,10,01,12,92,,,0,0,27,13,1,3,3,2,17725,78400.52,5908.333333333333,0,0,0,1,79000.0
20032,2,01,V1,2,2,2,2,51,2,10,01,12,92,,,0,0,27,13,1,3,2,9,12698,94080.62,6349.0,0,0,0,1,0.0
20032,2,01,V1,2,3,2,2,55,2,07,01,9,92,,,0,0,27,13,1,3,3,2,6123,69440.46,2041.0,0,0,0,1,8000.0
20032,2,01,V1,2,4,2,2,34,2,07,01,9,31,97009,911,2000,0,27,13,1,3,3,1,5147,33600.22,1715.6666666666667,2000,1,0,0,4000.0
20033,2,01,V1,1,1,2,2,34,2,12,01,15,31,21006,214,21000,0,29,18,1,3,4,2,15867,36239.39,3966.75,21000,1,0,0,24000.0
20033,2,02,V1,1,1,2,2,29,2,12,01,15,92,,,0,0,29,18,6,9,7,2,29367,36239.39,4195.285714285715,0,0,0,1,80000.0
20033,2,02,V1,1,1,8,2,28,2,12,03,16,92,,,0,0,29,18,6,9,7,2,29367,36239.39,4195.285714285715,0,0,0,1,80000.0
20033,2,02,V1,1,1,7,2,54,2,08,01,10,92,,,0,0,29,18,6,9,7,2,29367,36239.39,4195.285714285715,0,0,0,1,80000.0
20033,2,01,V1,1,2,2,2,50,2,12,03,16,31,64191,421,40000,0,29,18,1,3,4,2,10800,46181.17,2700.0,40000,1,0,0,50000.0
20033,2,02,V1,1,2,2,2,59,2,08,01,10,92,,,0,0,29,18,6,3,2,3,7517,46181.17,3758.5,0,0,0,1,0.0
20033,2,01,V1,1,3,7,2,50,2,07,01,8,92,,,0,0,29,18,6,3,3,2,14067,11224.59,4689.0,0,0,0,1,0.0
20033,2,02,V1,1,4,2,2,28,2,06,01,6,31,97009,911,6000,0,29,18,1,3,4,2,4575,9300.37,1143.75,6000,1,0,0,8000.0
20034,2,01,V1,1,1,2,2,45,2,12,01,15,92,,,0,0,18,13,1,9,3,9,15833,3480.26,5277.666666666667,0,0,0,1,0.0
20034,2,02,V1,1,1,2,2,60,2,10,01,12,92,,,0,0,18,13,1,9,3,9,18250,3480.26,6083.333333333333,0,0,0,1,0.0
20034,2,01,V1,1,2,2,2,45,2,10,01,12,92,,,0,0,18,13,1,1,3,9,16000,3796.65,5333.333333333333,0,0,0,1,0.0
20034,2,02,V1,1,2,2,2,38,2,07,01,9,92,,,0,0,18,13,1,9,4,2,13333,3796.65,3333.25,0,0,0,1,12000.0
20034,2,01,V1,1,3,1,2,38,2,10,01,12,92,,,0,0,18,13,2,3,5,9,16517,1898.32,3303.4,0,0,0,1,0.0
20034,2,01,V1,1,4,4,2,30,2,01,01,0,92,,,0,0,18,13,3,3,5,2,8433,10440.78,1686.6,0,0,0,1,0.0
20040,2,01,V1,1,1,7,2,48,2,08,01,10,93,,,0,0,09,09,1,3,5,1,18708,20287.8,3741.6,0,0,0,1,0.0
20040,2,02,V1,1,1,2,2,46,2,12,01,15,92,,,0,0,09,09,1,9,4,2,12750,20287.8,3187.5,0,0,0,1,25000.0
